AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00338830           0S     0S -7777S     1S    10S    69S   120S    94S    25S     1S     0S     0S
USC00338951           0S     0C -7777S     1C    11C    64C   111S    88C    28C     1C     0C     0C
USC00339219           0S     0S -7777S -7777S     7S    51S    86S    66S    18S     1S     0S     0S
USC00339299           0Q     0Q     0Q     0Q     2Q    27Q    70Q    51Q     7Q     2Q     0Q     0Q
USC00339312           0S     0C -7777C -7777C     4C    33C    61C    41C     8C     1S     0C     0C
USC00339361           0S     0S -7777S     1S    10S    59S    89S    68R    21R     1R     0R     0S
USC00340010           0Q     0Q     0Q -7777Q    32Q   161Q   296Q   299Q   101Q     4Q     0Q     0Q
USC00340017           0S -7777S -7777S     4S    41S   175S   330S   318S   117S    10S -7777S     0S
USC00340028           0Q     0Q     0Q     5Q    14Q    86Q   232Q   215Q    58Q     5Q     0Q     0Q
USC00340179           0S     0S -7777S     7S    67S   224C   355C   328S   130C    10S -7777S     0S
USC00340184           0S -7777S     1S    12S    74S   235S   384S   358S   149S    16S -7777S     0S
USC00340193           0R     0R     0R     3R    35R   146R   299R   250R    89R     5R -7777R     0R
USC00340224           0S     0S -7777S     3S    43S   153S   289S   271S    94S     7S -7777S     0S
USC00340256           0S     0R -7777S     3S    40S   155S   277S   284S   101S    10S     1S     0S
USC00340292       -7777S -7777R     1R    11R    75S   230R   377S   374S   160S    21S     1R     0S
USC00340332           0R     0R -7777R     2R    19R   103R   216R   205R    62R     2R -7777R     0R
USC00340391           0Q -7777Q -7777Q     5Q    43Q   164Q   309Q   299Q   118Q    14Q     1Q     0Q
USC00340535           0R     0R     1R     8R    31R   144R   286R   279R   100R     6R -7777R     0R
USC00340546           0Q     0Q -7777Q     2Q    19Q   137Q   278Q   259Q    76Q     7Q -7777Q     0Q
USC00340567           0R     0R -7777R     1R    11R    74R   186R   176R    51R     4R -7777R     0R
USC00340593           0S     0S -7777S     3S    24S   126S   257S   226C    73C     4S -7777S     0C
USC00340755           0C     0S -7777S     3C    29C   158C   307C   283C   100C     6S -7777C     0C
USC00340782           0R     0R     1R     5R    35R   156R   292R   278R    95R     7R -7777R     0R
USC00340818           0S     0S -7777R     2S    30S   158S   301R   280R   102R     6R     0S     0S
USC00340830           0S -7777S -7777S     4S    37S   142S   296S   286S   100S     8S -7777S     0S
USC00340908           0C     0C     0S -7777S    11S    92C   193C   154C    38C -7777C     0C     0S
USC00340980           0R     0R -7777R     3R    36R   161R   283R   292R   112R    10R     1R     0R
USC00341144           0S -7777S     1S     5C    27S   119C   248C   238S    78C     6C -7777S     0S
USC00341162           0Q     0Q -7777Q     2Q    37Q   168Q   280Q   285Q   110Q     3Q -7777Q     0Q
USC00341168           0R     0R -7777R     3R    35R   156R   272R   296R   118R    10R -7777R     0R
USC00341243           0R     0R -7777R    10R    36R   158R   293R   272R    98R     9R -7777R     0R
USC00341445           0R     0R -7777R     5R    40R   168R   321R   277R   108R     6R -7777R     0R
USC00341504           0R     0R -7777R     4R    47R   183R   316R   306R   114R     8R -7777R     0R
USC00341648           0Q -7777Q     1Q     5Q    34Q   146Q   291Q   282Q   107Q    10Q -7777Q     0Q
USC00341684           0S     0S -7777S     7S    42R   163S   313S   294R   105S     8S -7777S     0R
USC00341706           0S     0S -7777S     4S    58S   214S   355S   343S   137S    12S -7777S     0R
USC00341724           0S     0S -7777S     4S    46S   203S   358S   314S   121S     9S -7777S     0S
USC00341745           0S -7777S     1S     7S    41S   168S   306S   309S   127S    14S     1S     0S
USC00341750           0S     0S -7777S     9S    67S   208S   352S   331S   132S    13S -7777S     0S
USC00341828           0S -7777S -7777S     4S    30S   142S   271S   267S    94S     7S -7777S     0S
USC00341902           0R     0R     1R    10R    37R   157R   302R   302R   111R     9R     1R     0R
USC00341909           0R     0R -7777R     2R    37R   172R   314R   290R   105R     5R -7777R     0R
USC00342011           0Q -7777Q -7777Q     8Q    37Q   166Q   298Q   293Q   113Q    10Q     1Q     0Q
USC00342318           0C -7777C -7777C     7S    38C   159S   302C   296S   108S     7C -7777C     0S
USC00342660           0S -7777S -7777S     7S    47S   179S   317S   315S   125S    10S -7777S     0S
USC00342678       -7777R -7777R     1R     6R    52R   185R   314R   315R   129R    17R     1R     0R
USC00342818           0R     0R -7777R     3R    34R   144R   288R   271R    89R     6R -7777R     0R
USC00342849           0S     0S -7777S     2S    33R   147R   271R   256R    86R     4R -7777R     0S
USC00342912           0S     0S -7777C     5C    45C   188C   343S   308C   120S     9S -7777S     0S
USC00342944           0C     0S -7777C     3C    33S   148C   274C   250C    85C     4C -7777S     0C
USC00342993           0R -7777R     1R    10R    54R   203R   361R   346R   144R    29R     6R -7777R
USC00343286           0Q -7777Q -7777Q     9Q    41Q   188Q   359Q   341Q   125Q    17Q -7777Q     0Q
USC00343304           0S     0S -7777S     3S    25S   131S   259S   232S    74S     4S -7777S     0S
USC00343353           0R     0R -7777R     8R    62R   223S   362R   344S   140S    11R -7777R     0R
USC00343358           0S -7777S -7777S     5S    31S   135S   270S   240R    80S     5S -7777S     0S
USC00343489           0S     0S -7777S     5S    32S   148S   282S   250S    88S     5S -7777S     0S
USC00343497           0R     0S -7777R     3R    33R   149R   295R   280S    90R     5R -7777R     0R
USC00343628           0C     0C -7777C     1S    17S   117C   223C   194S    61S     2S     0S     0S
USC00343740           0S     0S -7777S     6S    43S   186S   338S   300S   111S     7S -7777S     0S
USC00343821           0S -7777S -7777S     8S    43S   161S   311S   295S   106S     9S -7777S     0S
USC00343871           0R     0R -7777R     3R    29R   140R   274R   248R    81R     4R -7777R     0R
USC00343884           0R     0R     1R     8R    42R   169R   295R   294R   117R    11R -7777R     0R
USC00344001       -7777S -7777S -7777S     4S    42S   161S   297S   291R   105S    10S -7777S     0S
USC00344019           0S     0S -7777S     3S    34S   163S   307S   280S   100S     6S -7777S     0S
USC00344055           0S     0S -7777C     2S    33C   160C   305C   277C    98C     7C     0C     0C
USC00344098           0Q -7777Q -7777Q     5Q    25Q   132Q   283Q   273Q    80Q     6Q -7777Q     0Q
USC00344235       -7777R -7777R -7777S     5S    39S   160R   311S   296S   108S     9S -7777S     0R
USC00344249           0S     0S -7777S     6S    58S   213S   336S   314S   123S     7S -7777S     0S
USC00344298           0S     0S     0S     3S    26S   125S   241S   208S    71R     3S -7777S     0S
USC00344384           0R     0R -7777R     2R    34R   150R   277R   284R   106R     8R -7777R     0R
USC00344393           0Q     0Q -7777Q     5Q    22Q   129Q   266Q   244Q    83Q     4Q -7777Q     0Q
USC00344451           0R     0R -7777R     4R    30R   138R   251R   258R    96R     9R -7777R     0S
USC00344567           0R     0R -7777R     5R    22R   122R   250R   250R    90R     4R -7777R     0R
USC00344573           0S     0S -7777S     3S    29S   144S   281S   251S    84S     5S -7777S     0S
USC00344672           0C -7777C -7777S     6S    24S   123S   254S   258S    89S     7S -7777S     0S
USC00344766           0R     0R -7777R     2R    15R   100R   198R   138R    52R     1R -7777R     0R
USC00344812           0R     0R     1R     8R    25R   125R   269R   256R    87R     6R -7777R     0R
USC00344861           0S     0S -7777S     4S    47S   180S   332S   307S   114S     9S -7777S     0S
USC00344975           0R     0R     1R     5R    30R   138R   275R   280R   100R     8R -7777R     0R
USC00345063           0R     0R     1R     6R    59R   207R   357R   342R   135R    13R     1R     0R
USC00345216           0R -7777R -7777R     4R    45R   163R   311R   291R   102R     8R -7777R     0R
USC00345468           0S -7777S     1S     8S    65S   210S   360S   350S   145S    19S     1S     0S
USC00345509           0S     0S -7777S     6S    56S   200S   330S   310S   120S     9S -7777S     0S
USC00345522           0S -7777S     2S    15S    41S   161S   306S   301S   112S    11S     1S -7777S
USC00345563       -7777S -7777S     1S     6S    50S   174S   311S   320S   128S    15S     1S     0S
USC00345693           0S -7777S     2S    15S    57S   186S   339S   332S   132S    19S     2S     0S
USC00345713           0S -7777R     1R     7R    53R   186R   329R   336R   139R    15S -7777S     0S
USC00345779           0S -7777S -7777S     5S    34S   143S   291S   275S    95S     8S -7777C     0C
USC00345855           0R     0R -7777R     4R    25R   140R   254R   254R    87R     4R -7777R     0R
USC00346130           0S -7777S     1S     5S    41S   159S   307S   292S   104S     9S -7777S     0S
USC00346139           0C     0C -7777S     4C    33C   162C   302C   278C    97C     6C -7777C     0C
USC00346278           0S     0S -7777S     2S    23S   126S   262S   245S    84S     5S -7777S     0S
USC00346386           0R -7777R -7777R     5R    47R   155R   303R   287R   106R     9R -7777R     0R
USC00346485           0R -7777R -7777R     8S    44R   186R   330R   314R   113R     9R -7777R     0R
USC00346629           0S -7777S -7777S     7S    45S   175S   316S   295S   109S     8S -7777S     0S
USC00346638           0S -7777S     1C    10C    59C   192S   335S   330C   134C    15C     1S     0S
USC00346670           0R     0R     1R     6R    40R   164R   295R   282R   101R    10R -7777R     0R
USC00346729           0Q     0Q     0Q     5Q    22Q   134Q   303Q   286Q    85Q     5Q -7777Q     0Q
USC00346926           0R -7777R -7777R     7R    49R   181R   320R   307R   119R    12R     1R     0R
USC00346935           0C -7777C     1S    10C    38S   153S   290C   280S   103S     9S -7777S     0S
USC00347012           0S     0S -7777S     8S    41S   169S   313S   303S   111S     9S -7777S     0R
USC00347080           0Q -7777Q -7777Q     4Q    39Q   171Q   295Q   306Q   121Q    10Q -7777Q     0Q
USC00347254           0R     0R     1R     4R    42R   164R   293R   289R   102R     7R -7777R     0R
USC00347309           0R     0R -7777R     4R    28R   134R   261R   263R    91R     6R -7777R     0R
USC00347327           0R     0R -7777R     5R    39R   160R   300R   294R   107R     8R -7777R     0R
USC00347390           0S     0S -7777S     7S    37S   153R   287S   269S    93S     7S -7777S     0S
USC00347579           0R     0R -7777R     4R    27R   123R   231R   230R    75R     5R -7777R     0R
USC00347862           0S     0S -7777S     4S    38S   159S   292S   290S   110S    10S -7777S     0S
USC00348042           0S -7777S     1C     9C    56S   190C   343C   331C   127C    13C -7777S     0S
USC00348285           0R     0R -7777R     1R    17R    95R   195R   202R    63R     3R -7777R     0R
USC00348380           0C -7777C -7777S     7C    44C   168S   314C   305S   116S    12S -7777S     0S
USC00348501           0C     0C -7777C     6S    35S   149S   287S   279S    96S     6S -7777S     0S
USC00348506           0R     0R -7777R     2R    15R    97R   207R   204R    62R     3R -7777R     0R
USC00348677           0S -7777S     1S     6S    27S   123S   252R   248S    89S     6S -7777S     0R
USC00348708           0C     0S -7777S     3C    36S   163S   298C   275C    95C     5C -7777C     0C
USC00348769           0Q -7777Q -7777Q     3Q    17Q   129Q   238Q   247Q    79Q     8Q -7777Q     0Q
USC00349017           0S     0S -7777R     2S    26S   142S   254R   219S    69S     3S -7777S     0R
USC00349023           0S     0S -7777S     5C    37S   140C   272S   269S   102S    13S     1S     0C
USC00349101           0Q -7777Q -7777Q     3Q    17Q   110Q   238Q   227Q    58Q     5Q -7777Q     0Q
USC00349203           0S     0R     1S     4R    24R   150R   281R   253R    90R     8R -7777S     0S
USC00349247           0R     0R     1R     9R    44R   171R   310R   305R   116R    11R     1R     0R
USC00349278           0R     0R -7777S     5R    54S   196R   338S   341S   132S    12R -7777S     0R
USC00349364           0S     0S -7777S     3C    36C   153C   297C   267C    93C     6C -7777S     0S
USC00349395       -7777S -7777S     2S    15S    87S   232S   378S   371S   167S    24S     1S     0S
USC00349404           0S     0S -7777S     6S    45S   179S   336S   288S   106S     8S -7777S     0S
USC00349422           0S     0S -7777S     4S    44S   174C   311S   290S   106S     6S -7777S     0S
USC00349445           0R     0S -7777S     3S    28S   145S   278R   274R   102R     8R -7777R     0R
USC00349629           0S -7777S     1S     8S    57S   193S   342S   324S   124S    11S -7777S     0S
USC00349634           0R     0R     1R     5R    49R   152R   294R   289R   111R    10R     1R     0R
USC00349724           0Q     0Q -7777Q     6Q    29Q   152Q   273Q   267Q    81Q    11Q -7777Q     0Q
USC00350036           0Q     0Q     0Q     0Q     1Q     5Q    51Q    39Q     3Q -7777Q     0Q     0Q
USC00350118           0S     0S     0R     0R -7777R     3R    19R     9R -7777R     0R     0R     0S
